der_name,event_id,scheme_name,start_time_utc,end_time_utc,start_time_local,end_time_local,duration_hours,total_der_access_reduction_kWh,average_access_reduction_kW,peak_access_reduction_kW,estimated_energy_lost_kWh,driver,public_flag
DER43,E202505290826,WALPOLE-E,2025-05-29T08:26:15+00:00,2025-05-29T08:37:05+00:00,2025-05-29T08:26:15+00:00,2025-05-29T08:37:05+00:00,0.18112722222222222,2708.333333333333,14952.657585674893,15000.0,714.9726400560716,Non-constraint,Y
DER31,E202505290826,RAYLEIGH,2025-05-29T08:26:08+00:00,2025-05-29T08:29:12+00:00,2025-05-29T08:26:08+00:00,2025-05-29T08:29:12+00:00,0.05416666666666667,88.27294053819445,1629.6542868589743,3094.421875,0.0,Constraint,Y
DER31,E202505281230,RAYLEIGH,2025-05-28T12:30:12+00:00,2025-05-28T12:34:59+00:00,2025-05-28T12:30:12+00:00,2025-05-28T12:34:59+00:00,0.1111111111111111,207.69654405381945,1869.268896484375,4889.8046875,0.0,Constraint,Y
DER31,E202505281209,RAYLEIGH,2025-05-28T12:09:26+00:00,2025-05-28T12:22:26+00:00,2025-05-28T12:09:26+00:00,2025-05-28T12:22:26+00:00,0.24833333333333335,724.9876207139757,2919.4132377743986,6902.6630859375,0.0,Constraint,Y
DER31,E202505281110,RAYLEIGH,2025-05-28T11:10:26+00:00,2025-05-28T11:30:48+00:00,2025-05-28T11:10:26+00:00,2025-05-28T11:30:48+00:00,0.3408333333333333,2002.1492843967014,5874.276629036777,8752.845703125,23.677227107034938,Constraint,Y
DER31,E202505280817,RAYLEIGH,2025-05-28T08:17:30+00:00,2025-05-28T08:26:13+00:00,2025-05-28T08:17:30+00:00,2025-05-28T08:26:13+00:00,0.14555555555555555,750.3407283528646,5155.0126375387645,9670.3037109375,0.0,Constraint,Y
DER1,E202505280748,WALPOLE-W,2025-05-28T07:48:16+00:00,2025-05-28T07:48:48+00:00,2025-05-28T07:48:16+00:00,2025-05-28T07:48:48+00:00,0.011944444444444445,2.8004861111111112,234.4593023255814,315.0546875,0.0,Non-constraint,Y
DER35,E202505280742,WALPOLE-W,2025-05-28T07:42:35+00:00,2025-05-28T07:43:28+00:00,2025-05-28T07:42:35+00:00,2025-05-28T07:43:28+00:00,0.020555555555555556,11.451185980902778,557.0847233952703,777.81640625,0.0,Non-constraint,Y
DER31,E202505270757,RAYLEIGH,2025-05-27T07:57:23+00:00,2025-05-27T07:58:05+00:00,2025-05-27T07:57:23+00:00,2025-05-27T07:58:05+00:00,0.019166666666666665,46.666666666666664,2434.782608695652,4000.0,0.0,Non-constraint,Y
DER29,E202505270652,NORWICH,2025-05-27T06:52:18+00:00,2025-05-27T06:53:21+00:00,2025-05-27T06:52:18+00:00,2025-05-27T06:53:21+00:00,0.025,1.3833333333333333,55.33333333333333,110.0,0.0,Non-constraint,Y
