Type,Site Functional Location,SiteType,Functional Location,Functional Location Name,Site Description,Operational Voltage (kV),Equipment,ONAN Rating (kVA),Primary Winding Voltage (kV),Secondary Winding Voltage (kV),Tertiary Winding Voltage (kV),Make,Model,Licence Area,Reverse Power Capability,Spatial Coordinates,what3words
3w,SPN-S000000009932,Grid Substation,SPN-S000000009932-TP1-0GT1-003,GTX 009932 GT1,MAIDSTONE GRID 132KV,132.0,2000300765,20000.0,132.0,11.0,11.0,Asea Brown Boveri Ltd,,SPN,100%,"51.274766, 0.533574",bumps.ample.fines
3w,LPN-S000000000130,Grid Substation,LPN-S000000000130-TP1-0GT3-004,GTX 00130 GT3,FULHAM PALACE RD C,132.0,2001914772,30000.0,132.0,11.0,11.0,Alstom,,LPN,100%,"51.490636, -0.221803",putty.prom.labels
3w,LPN-S000000000112,Grid Substation,LPN-S000000000112-TP1-0GT2-001,GTX 00112 GT2,CALSHOT ST 11KV,132.0,2002332722,66000.0,132.0,11.0,11.0,Getra Power SPA,UNIT,LPN,100%,"51.53156, -0.116846",silks.firmly.vast
3w,LPN-S000000000256,Grid Substation,LPN-S000000000256-TP1-0GT1-002,GTX 00256 GT1,LONGFORD ST B 11KV,132.0,2001951396,30000.0,132.0,11.0,11.0,Peebles Transformers Limited,,LPN,100%,"51.525213, -0.141774",piles.glove.fault
3w,EPN-S0000000N8059,Grid Substation,EPN-S0000000N8059-TP1-00T2-002,GTX 0N8059 T2,NEASDEN BSP,132.0,2000679100,45000.0,132.0,22.0,22.0,Brush,DUAL WOUND 45,EPN,100%,"51.559432, -0.26103",lives.flows.castle
3w,LPN-S000000000917,Grid Substation,LPN-S000000000917-TP1-GT1B-003,GTX 00917 GT1B,BANKSIDE D 20KV,132.0,2001902377,90000.0,132.0,20.0,20.0,Wilson Transformer Company,HYDRAN M2,LPN,100%,"51.507784, -0.098473",feast.paints.trials
3w,LPN-S000000000111,Grid Substation,LPN-S000000000111-TP1-0GT1-003,GTX 00111 GT1,CANAL STREET,132.0,2002067976,57000.0,132.0,11.0,11.0,Wilson Transformer Company,,LPN,100%,"51.537843, -0.12844",rents.gums.feared
3w,LPN-S000000000683,Grid Substation,LPN-S000000000683-TP1-0GT2-002,GTX 00683 GT2,SIMPSONS ROAD,132.0,2001963315,30000.0,132.0,11.0,11.0,General Electric Company,,LPN,100%,"51.5082, -0.017236",bugs.formed.press
3w,EPN-S0000000F7050,Grid Substation,EPN-S0000000F7050-TP1-0GT1-001,GTX 0F7050 GT1,MANOR HOUSE 132/11kV,132.0,2001203293,22500.0,132.0,11.0,11.0,Wilson Transformer Company,,EPN,100%,"51.571978, -0.094886",rails.acting.beside
3w,EPN-S0000000F6057,Grid Substation,EPN-S0000000F6057-TP1-0GT2-003,GTX 0F6057 GT2,PETERBOROUGH EAST GRID 132/11kV,132.0,2000937447,30000.0,132.0,11.0,11.0,Tamini,,EPN,100%,"52.587122, -0.217277",hands.holds.lost
