IncidentReference,PowerCutType,CreationDateTime,NoCallsReported,IncidentsCount,NoCustomerAffected,PostCodesAffected,RestoredIncidents,UnplannedIncidents,PlannedIncidents,IncidentTypeTBCEstimatedFriendlyDescription,IncidentDescription,FullPostcodeData,IncidentCategoryCustomerFriendlyDescription,IncidentCategory,IncidentTypeName,IncidentType,IncidentPriority,StatusId,RestoredDateTime,PlannedDate,ReceivedDate,NoPlannedCustomers,PlannedIncidentReason,Message,MainMessage,geopoint,EstimatedRestorationDate,OperatingZone
INCD-75572-N,Restored,2026-03-07T08:40:34,2,0,0,EC4Y 1;EC4Y 8,,,,07 Mar 13:00 - 14:00,,EC4Y1LL;EC4Y1BP;EC4Y1JU;EC4Y1BJ;EC4Y8DB;EC4Y1BE;EC4Y1AG,A fault occurred on a piece of our electrical equipment which controls the power to your home.,124,Restored,2,10,5,2026-03-07T10:38:13.903,,2026-03-07T08:40:00,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,"We have repaired the problem with the electricity supply in your area. There may still be some tidying up to do, and any details have been passed to our Maintenance department, who will attend to it as soon as possible. Please accept our sincere apologies for any inconvenience this may cause.","51.51325, -0.10925",2026-03-07T13:30:00,CENTRAL
INCD-589590-Z,Restored,2026-03-07T09:18:17,4,0,0,EN3 5,,,,07 Mar 14:00 - 15:00,,EN35TD;EN35TB;EN35TR;EN35RS;EN35TA;EN35TE,A fault occurred on a piece of our electrical equipment which controls the power to your home.,124,Restored,2,10,5,2026-03-07T13:21:30.207,,2026-03-07T09:17:00,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,We are aware of an incident caused by LV Fuse Replacement/Linking affecting the electricity supply in your area. Our engineers are dealing with this and we estimate that most supplies will be restored by 07-MAR-2026 14:30.  Please accept our sincere apologies for any inconvenience this may cause.,,2026-03-07T14:30:00,ENFIELD
INCD-437924-G,Unplanned,2026-03-05T06:20:01,2,0,0,RH2 8,,,,To be confirmed,,RH28PX;RH28PT;RH28PR;RH28PP,,229,Unplanned,2,2,1,,,2026-03-05T06:19:18,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,We are currently experiencing problems with the electricity supply in your area.  We are arranging to have engineers investigate the fault.  We are sorry we can't give you a time for the restoration of supply at present. Please accept our sincere apologies for any inconvenience this may cause.,"51.20711, -0.24055",,Croydon Zone
INCD-438138-G,Unplanned,2026-03-07T10:35:56,1,0,3,CR6 9;RH8 0;TN16 2,,,,07 Mar 17:00 - 18:00,,RH80SD;TN162DX;TN162DY;TN162DU;TN162EN;TN162EE;TN162DS;TN162DT;RH80SE;RH80SF;CR69QH;CR69QP;TN162EJ;TN162EG;TN162JX;TN162DG;TN162EL;TN162JU;CR69QN;TN162ER,A fault has occurred on a high voltage overhead electricity line in the local area.,43,Unplanned,3,2,1,,,2026-03-07T10:35:00,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,We are aware of an incident caused by 11kV OH SG (not CB) Fault affecting the electricity supply in your area. Our engineers are dealing with this and we estimate that most supplies will be restored by 07-MAR-2026 17:00.  Please accept our sincere apologies for any inconvenience this may cause.,"51.24767, 0.01245",2026-03-07T17:00:00,West Sussex Zone
INCD-438139-G,Restored,2026-03-07T11:02:53,2,0,0,KT24 5;KT24 6;RH5 6,,,,To be confirmed,,KT246TH;KT246TN;KT246TL;KT246TJ;KT245RG;KT245RF;KT245RH;KT245RE;KT245RQ;KT245TF;KT245RD;KT245TG;RH56SX;RH56SZ;RH56SS;RH56SU;RH56ST;RH56SY;RH56SR;KT245TD,A fault occurred on a high voltage overhead electricity line in the local area.,43,Restored,3,10,5,2026-03-07T11:34:24.323,,2026-03-06T20:29:00,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,"We have repaired the problem with the electricity supply in your area. There may still be some tidying up to do, and any details have been passed to our Maintenance department, who will attend to it as soon as possible. Please accept our sincere apologies for any inconvenience this may cause.","51.26438, -0.4224",,Kingston Zone
INCD-589615-Z,Unplanned,2026-03-07T12:58:37,8,0,0,CO2 7;CO3 3;CO3 4,,,,07 Mar 16:30 - 17:30,,CO27XF;CO33UD;CO33UE;CO33BG;CO27XE;CO33UB;CO27XD;CO27XB;CO33UA;CO34PS;CO34RX;CO33BN;CO27UU;CO33TT;CO27BY,A fault has occurred on a piece of our electrical equipment which controls the power to your home.,124,Unplanned,2,2,1,,,2026-03-07T12:58:01,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,We are aware of an incident caused by LV Fuse Replacement/Linking affecting the electricity supply in your area. Our engineers are dealing with this and we estimate that most supplies will be restored by 07-MAR-2026 17:00.  Please accept our sincere apologies for any inconvenience this may cause.,"51.87878, 0.89759",2026-03-07T17:00:00,CLACTON
INCD-589622-Z,Unplanned,2026-03-07T13:32:44,2,0,0,SG12 7;SG12 9,,,,To be confirmed,,SG129HW;SG129HS;SG129HP;SG129HN;SG129BS;SG127AA,We're currently investigating a fault on the electricity network which has caused a power cut in the local area.,104,Unplanned,2,2,1,,,2026-03-07T13:31:52,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,We are currently experiencing problems with the electricity supply in your area.  We are arranging to have engineers investigate the fault.  We are sorry we can't give you a time for the restoration of supply at present. Please accept our sincere apologies for any inconvenience this may cause.,"51.79986, -0.0262",,HARLOW
INCD-589622-Z,Unplanned,2026-03-07T13:32:44,2,0,0,SG12 7;SG12 9,,,,To be confirmed,,SG129HW;SG129HS;SG129HP;SG129HN;SG129BS;SG127AA,We're currently investigating a fault on the electricity network which has caused a power cut in the local area.,104,Unplanned,2,2,1,,,2026-03-07T13:31:52,0,We're carrying out planned work in your area. For our engineers to carry it out safely they need to turn the power off. We're doing this work as it's essential to provide reliable electricity supplies to your area. We're sorry for any inconvenience caused and thank you for your patience.,,We are currently experiencing problems with the electricity supply in your area.  We are arranging to have engineers investigate the fault.  We are sorry we can't give you a time for the restoration of supply at present. Please accept our sincere apologies for any inconvenience this may cause.,"51.82743, 0.00865",,HARLOW
MULT-9603d512-26a9-4d43-b272-9b27bb41eaf9,Multiple,0001-01-01T00:00:00,0,2,0,EN3 5,INCD-589551-Z;INCD-589590-Z,,,,,,,,,0,0,0,,,,0,,,,"51.66348, -0.04075",,
MULT-cdfcefc4-9c24-450b-a74e-73c4fb1573c8,Multiple,0001-01-01T00:00:00,0,2,0,LU1 5;SS0 9;SG6 3,INCD-589607-Z,INCD-589574-Z,,,,,,,,0,0,0,,,,0,,,,"51.87336, -0.43457",,
