Area,Transformer Functional Location,Deferred Transformer size (kVA),DNOA Result,Constraint year,TR11 flex capacity awarded(MW),TR11 flex capacity awarded(kW),sitefunctionallocation,geopoint
LPN,LPN-S000000022053-TP1-00T1-001,800.0,Procure more flex in future tender events,2025,0.0,0.0,LPN-S000000022053,"51.534994, -0.247975"
LPN,LPN-S000000022119-TP1-00T1-001,800.0,Procure more flex in future tender events,2025,0.0,0.0,LPN-S000000022119,"51.548517, -0.230479"
LPN,LPN-S000000030315-TP1-00T1-001,800.0,Procure more flex in future tender events,2025,0.0,0.0,LPN-S000000030315,"51.515313, -0.183772"
LPN,LPN-S000000044322-TP1-00T1-001,800.0,Procure more flex in future tender events,2025,0.0,0.0,LPN-S000000044322,"51.535337, -0.061132"
LPN,LPN-S000000072087-TP1-00T1-001,1315.0,Procure more flex in future tender events,2025,0.0,0.0,LPN-S000000072087,"51.451002, 0.227368"
LPN,LPN-S000000092474-TP1-00T1-001,800.0,Procure more flex in future tender events,2025,0.0,0.0,LPN-S000000092474,"51.441145, -0.123459"
SPN,SPN-S000000122100-TP1-00T1-001,1000.0,Procure more flex in future tender events,2025,0.0,0.0,SPN-S000000122100,"51.401826, -0.38203"
SPN,SPN-S000000391659-TP1-00T1-001,800.0,Procure more flex in future tender events,2027,0.0,0.0,SPN-S000000391659,"51.276383, 0.564191"
SPN,SPN-S000000441523-TP1-00T1-001,315.0,Procure more flex in future tender events,2027,0.0,0.0,SPN-S000000441523,"51.051661, 0.232937"
SPN,SPN-S000000504200-TP1-00T1-001,800.0,Procure more flex in future tender events,2027,0.0,0.0,SPN-S000000504200,"50.921217, -0.114389"
