Geo Point,Geo Shape,Batch_ID,DNO,OperationalArea,TargetStartDate,TargetDeliveryDate,Status,days_outstanding,rag_status,PVC Date,days_since_pvc_date
"51.79948204130594, -0.37647121352039975","{""coordinates"": [[[-0.406012699866472, 51.80482964199091], [-0.405695613331385, 51.813817146623485], [-0.405378361474898, 51.82280463604521], [-0.390875184366221, 51.8226070940298], [-0.376372174192747, 51.822407764213104], [-0.361869332458711, 51.822206646643394], [-0.347366660664906, 51.82200374136883], [-0.347695443358575, 51.813016508823004], [-0.362195232618153, 51.81321934901939], [-0.362520962955874, 51.804232036108736], [-0.348024054729895, 51.804029260964505], [-0.333527317709053, 51.8038246993097], [-0.333858637292959, 51.79483750173751], [-0.348352494896607, 51.79504199779339], [-0.348680763978437, 51.786054719309746], [-0.349008862090797, 51.777067425513266], [-0.363497136202518, 51.777270005654465], [-0.377985579669937, 51.777470800952464], [-0.392474190995668, 51.77766981135898], [-0.40696296868355, 51.777867036826386], [-0.406646377428636, 51.78685458709249], [-0.40632962119428, 51.79584212214724], [-0.406012699866472, 51.80482964199091]]], ""type"": ""Polygon""}",HH-0013,EPN,Hemel Hempstead,2025-03-10,2025-05-08,Complete,-302,Complete,2025-05-06,-304
"51.77591813743975, -0.2693273761003027","{""coordinates"": [[[-0.319698977073528, 51.78564407302641], [-0.305208343816574, 51.785436071958216], [-0.290717886018419, 51.785226285672024], [-0.276227605175842, 51.78501471421822], [-0.261737502784875, 51.78480135764749], [-0.247247580341834, 51.78458621601132], [-0.232757839347706, 51.78436928936075], [-0.218268281290315, 51.78415057774841], [-0.218622262831647, 51.77516389445838], [-0.218976060066369, 51.76617719561406], [-0.233459868734818, 51.76639576701261], [-0.247943860092995, 51.766612554592164], [-0.262428032647333, 51.76682755830074], [-0.276912384896293, 51.76704077808674], [-0.291396915352417, 51.767252213899155], [-0.305881622521212, 51.76746186568702], [-0.320366504907007, 51.76766973340026], [-0.320032827911446, 51.776656910895746], [-0.319698977073528, 51.78564407302641]]], ""type"": ""Polygon""}",HH-0002,EPN,Hemel Hempstead,2024-10-14,2024-12-06,Complete,-455,Complete,2024-12-05,-456
"51.801452570682386, -0.23257498193299012","{""coordinates"": [[[-0.261046253133056, 51.80277509510711], [-0.260700358074379, 51.81176194062904], [-0.260354282694613, 51.82074877067898], [-0.245852842505999, 51.82053335285937], [-0.231351584263397, 51.820316147736676], [-0.216850509467473, 51.82009715536306], [-0.202349619615985, 51.819876375793214], [-0.202707220972103, 51.81088982552658], [-0.217205229521962, 51.81111053429219], [-0.217559764756168, 51.80212389766601], [-0.217914115308061, 51.7931372454842], [-0.203421864876434, 51.792916678242165], [-0.188929800506057, 51.79269432557122], [-0.189289719977832, 51.78370779984833], [-0.203778907669161, 51.7839300812264], [-0.218268281290315, 51.78415057774841], [-0.232757839347706, 51.78436928936075], [-0.247247580341834, 51.78458621601132], [-0.261737502784875, 51.78480135764749], [-0.261391967995214, 51.79378823411322], [-0.261046253133056, 51.80277509510711]]], ""type"": ""Polygon""}",HH-0024,EPN,Hemel Hempstead,2025-05-12,2025-07-04,Complete,-245,Complete,2025-07-03,-246
"51.76169524007445, -0.15474936998478092","{""coordinates"": [[[-0.190008996776641, 51.76573470156978], [-0.189649452027179, 51.774721258514205], [-0.189289719977832, 51.78370779984833], [-0.188929800506057, 51.79269432557122], [-0.188569693472238, 51.80168083568373], [-0.174074938606578, 51.801456625746745], [-0.174437923691302, 51.7924701875254], [-0.159946235931905, 51.79224426415892], [-0.145454738723299, 51.79201655552578], [-0.130963433561782, 51.791787061680274], [-0.116472321943896, 51.79155578267768], [-0.116846622874158, 51.78256962198943], [-0.117220728898367, 51.773583445546194], [-0.117594640151715, 51.76459725334841], [-0.117968356768407, 51.75561104539634], [-0.118341878882553, 51.7466248216902], [-0.118715206628236, 51.73763858223029], [-0.119088340139119, 51.728652327016995], [-0.13355935093745, 51.72888308758316], [-0.148030554347753, 51.72911206698854], [-0.162501948881109, 51.72933926517817], [-0.17697353304841, 51.72956468209762], [-0.191445305360279, 51.729788317692915], [-0.191086508518978, 51.738774937076535], [-0.190727524893261, 51.74776154085082], [-0.190368354355513, 51.7567481290153], [-0.190008996776641, 51.76573470156978]]], ""type"": ""Polygon""}",LV-0042,EPN,Lea Valley,2025-07-28,2025-09-23,Complete,-164,Complete,,
"51.85576752307296, -0.10167583346265129","{""coordinates"": [[[-0.187848916213239, 51.81965380907731], [-0.187488245730652, 51.82864027235703], [-0.18712738717209, 51.83762672002525], [-0.186766340407583, 51.84661315208185], [-0.186405105306937, 51.85559956852639], [-0.186043681740159, 51.86458596935922], [-0.171528738532375, 51.86436125537951], [-0.15701398542618, 51.86413475149582], [-0.142499423926535, 51.86390645776396], [-0.127985055537722, 51.863676374238814], [-0.113470881765035, 51.86344450097569], [-0.113094820623982, 51.87243051985771], [-0.112718563227574, 51.881416522982], [-0.112342109440105, 51.89040251034834], [-0.111965459125491, 51.89938848195653], [-0.111588612148008, 51.9083744378062], [-0.097060172466062, 51.90814039961952], [-0.082531931092705, 51.90790456893697], [-0.06800388953749, 51.90766694581532], [-0.053476049309646, 51.90742753031182], [-0.038948411918158, 51.90718632248418], [-0.039339734616349, 51.898200747918075], [-0.03973085311061, 51.88921515744204], [-0.040121767542105, 51.88022955105647], [-0.040512478051837, 51.87124392876181], [-0.040902984780807, 51.86225829055841], [-0.041293287869754, 51.853272636446626], [-0.041683387458724, 51.84428696642675], [-0.042073283686211, 51.8353012804991], [-0.042462976697078, 51.82631557866448], [-0.042852466630994, 51.81732986092326], [-0.057351223099271, 51.81757029607673], [-0.071850181010734, 51.817808944639815], [-0.086349338858488, 51.818045806554096], [-0.100848695147633, 51.81828088176319], [-0.115348248380053, 51.81851417021059], [-0.129847997056479, 51.81874567184041], [-0.144347939677399, 51.81897538659699], [-0.158848074743498, 51.819203314425096], [-0.173348400755208, 51.819429455269976], [-0.187848916213239, 51.81965380907731]]], ""type"": ""Polygon""}",LV-0023,EPN,Lea Valley,2024-09-16,2024-11-11,Complete,-480,Complete,2024-11-08,-483
"51.69169831568745, -0.0858951448436071","{""coordinates"": [[[-0.120206576599163, 51.701693466859], [-0.119834024990796, 51.71067976933102], [-0.105368937701417, 51.71044737666082], [-0.090904045733037, 51.71021320408028], [-0.076439350572447, 51.70997725164532], [-0.061974853707703, 51.709739519414235], [-0.047510556622578, 51.70950000743913], [-0.04789741923997, 51.70051408294523], [-0.048284080730843, 51.691528142549274], [-0.048670541233822, 51.6825421862528], [-0.063126256986711, 51.682781468113156], [-0.063509659159795, 51.67379541927226], [-0.077962716667119, 51.67403284702514], [-0.078343063476496, 51.665046706268996], [-0.092793462465585, 51.66528228102413], [-0.092415971922816, 51.67426849725663], [-0.106869423445511, 51.67450236991027], [-0.121323069752657, 51.67473446492996], [-0.12095109884696, 51.6837208146582], [-0.120578934506841, 51.69270714863462], [-0.120206576599163, 51.701693466859]]], ""type"": ""Polygon""}",LV-0021,EPN,Lea Valley,2024-07-01,2024-08-23,Complete,-560,Complete,2024-08-27,-556
"51.80421157089251, -0.06517811340349805","{""coordinates"": [[[-0.08672998593966, 51.80905984332537], [-0.086349338858488, 51.818045806554096], [-0.071850181010734, 51.817808944639815], [-0.057351223099271, 51.81757029607673], [-0.042852466630994, 51.81732986092326], [-0.043241753628429, 51.808344127275724], [-0.04363083782763, 51.79935837772216], [-0.044019719367423, 51.79037261226282], [-0.058509840827708, 51.79061281621045], [-0.073000163312214, 51.790851235282695], [-0.087490685323545, 51.791087869422874], [-0.087110434715748, 51.80007386428151], [-0.08672998593966, 51.80905984332537]]], ""type"": ""Polygon""}",LV-0045,EPN,Lea Valley,2025-08-18,2025-10-14,Complete,-143,Complete,,
"51.80424087844617, 0.00942127488487899","{""coordinates"": [[[-0.042852466630994, 51.81732986092326], [-0.02835391310199, 51.817087639236675], [-0.013855564010933, 51.816843631075265], [0.000642579145895, 51.8165978364974], [0.015140514869978, 51.816350255562064], [0.029638241663105, 51.816100888329046], [0.044135758027066, 51.81584973485779], [0.058633062463817, 51.81559679520909], [0.073130153475271, 51.81534206944363], [0.072717832940939, 51.80635697317926], [0.072305727181096, 51.79737186075642], [0.057814392040984, 51.79762642320572], [0.043322843771631, 51.79787920068092], [0.028831083866191, 51.7981301931224], [0.028427820248801, 51.789144821426625], [0.013938726333946, 51.789393948877866], [-0.000550576080038, 51.78964129174632], [-0.015040085498352, 51.78988684997249], [-0.029529800425953, 51.790130623497475], [-0.044019719367423, 51.79037261226282], [-0.04363083782763, 51.79935837772216], [-0.043241753628429, 51.808344127275724], [-0.042852466630994, 51.81732986092326]]], ""type"": ""Polygon""}",LV-0027,EPN,Lea Valley,2025-04-28,2025-06-23,Complete,-256,Complete,2025-06-30,-249
"51.6943074470389, -0.005561630732067179","{""coordinates"": [[[0.023604995079862, 51.68131910846528], [0.009150298419055, 51.68156727962644], [-0.005304605025698, 51.68181367304429], [-0.019759713770796, 51.68205828865997], [-0.019367535764127, 51.69104408990249], [-0.03382570700963, 51.6912870054691], [-0.033436185212035, 51.70027286859201], [-0.033046460801114, 51.70925871578268], [-0.018582567734755, 51.70901564450027], [-0.004118878907997, 51.70877079365003], [-0.004514326483743, 51.699785102774875], [0.009946295247879, 51.69953855142711], [0.024406709911174, 51.69929022119846], [0.024005748290824, 51.69030467285954], [0.023604995079862, 51.68131910846528]]], ""type"": ""Polygon""}",LV-0043,EPN,Lea Valley,2025-08-04,2025-09-30,Complete,-157,Complete,,
"51.722828282770486, -0.004407848233163678","{""coordinates"": [[[-0.031876070488806, 51.73621616175943], [-0.031485534220881, 51.74520194521718], [-0.017010179678644, 51.7449585621353], [-0.002535029937816, 51.74471339720678], [0.011939913511615, 51.744466450489504], [0.011540774867705, 51.735480902728554], [0.011141843860025, 51.72649533894213], [0.025610846664676, 51.72624676987676], [0.025209258953916, 51.717261269707706], [0.024807880084405, 51.70827575348142], [0.024406709911174, 51.69929022119846], [0.009946295247879, 51.69953855142711], [-0.004514326483743, 51.699785102774875], [-0.004118878907997, 51.70877079365003], [-0.018582567734755, 51.70901564450027], [-0.033046460801114, 51.70925871578268], [-0.032656533636275, 51.71824454704113], [-0.03226640357874, 51.72723036236695], [-0.031876070488806, 51.73621616175943]]], ""type"": ""Polygon""}",LV-0018,EPN,Lea Valley,2024-06-24,2024-08-16,Complete,-567,Complete,2024-08-14,-569
